Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Revenue_per_Month,Average_Monthly_Charges,Charges_Evolution,Total_Services,Contract_Risk_Score,Payment_Risk_Score,Service_Dependency_Score,Loyalty_Adjusted_Value,Gender_Encoded,Contract_Encoded,Payment Method_Encoded,Internet Service_DSL,Internet Service_Fiber optic,Internet Service_No,Value_Segment_Low,Value_Segment_Medium,Value_Segment_High,Value_Segment_Premium,customer_sentiment,sentiment_encoded,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9
No,No,No,-0.906122343,Yes,No,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,-0.303087774,-0.853991846,Yes,-0.300559423,-0.300559423,-0.097465156,3,3,2,0,-0.694582334,1,0,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NEGATIVE,0,-0.22568226,-1.3298602,2.379196,0.23738267,-0.067890994,-0.7154203,-0.4499802,-0.52708876,-0.4743815,-0.40972716
No,No,Yes,-0.906122343,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.006368865,-0.770777482,Yes,0.101020134,0.101020134,-2.181905656,1,3,3,-0.490545965,-0.561733082,0,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NEGATIVE,0,-0.4939263,-1.3489766,2.3229058,0.40569583,0.065043725,-0.6001795,-0.49266905,-0.54510075,-0.48426682,-0.53914666
No,No,Yes,-0.586532311,Yes,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.526207749,-0.227165867,Yes,0.582314743,0.582314743,-1.24672737,4,3,3,0.509454035,0.122214318,0,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.34260964,-1.314835,2.3572938,0.46570444,-0.32196867,-0.7926195,-0.61732,-0.54459214,-0.7492517,-0.44055822
No,Yes,Yes,-0.021185495,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0.61743352,0.390452313,Yes,0.692825435,0.692825435,-1.701958902,5,3,3,0.645020411,0.560638984,0,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.7082569,-0.3377057,-1.482751,1.5931457,0.85808265,-0.7745808,1.4795299,0.06541528,-0.090036236,0.77697134
No,No,Yes,0.361240019,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0.597976304,0.687546722,Yes,0.586213883,0.586213883,0.400861063,5,3,1,0.645020411,0.707245153,1,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.7082569,-0.3377057,-1.482751,1.5931457,0.85808265,-0.7745808,1.4795299,0.06541528,-0.090036236,0.77697134
No,Yes,No,-0.509281283,Yes,No,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),-0.278061553,-0.392254518,Yes,-0.32380198,-0.32380198,1.038510219,3,3,1,0,-0.249446007,0,0,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NEGATIVE,0,-0.2521757,-1.2025632,2.1898432,0.45848557,-0.10887069,-0.56976044,-0.6692527,-0.49910182,-0.2197581,-0.42119277
Yes,No,No,-0.989731303,No,No phone service,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,-0.569332895,-1.061579562,Yes,-0.573866741,-0.573866741,0,2,3,3,-0.222876017,-0.991411224,1,0,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NEGATIVE,0,-0.23929763,-1.3014336,2.048893,0.33128867,-0.33689383,-0.6761571,-0.35954058,-0.64269835,-0.4944378,-0.35375884
No,No,No,-0.989731303,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-0.947211178,-1.172875202,Yes,-0.957074809,-0.957074809,0,1,3,2,-0.490545965,-1.178902817,1,0,3,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NEGATIVE,0,-0.2993915,-1.2273262,2.098698,0.36840922,-0.31395882,-0.5410001,-0.41795048,-0.33082968,-0.23094583,-0.2265485
No,Yes,Yes,0.329250008,Yes,Yes,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.520883231,0.650868948,Yes,0.555307964,0.555307964,-0.728922869,4,3,3,0.509454035,0.650066506,1,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.7082569,-0.3377057,-1.482751,1.5931457,0.85808265,-0.7745808,1.4795299,0.06541528,-0.090036236,0.77697134
No,Yes,No,-0.989731303,No,No phone service,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,-0.750242726,-1.108887095,Yes,-0.75709938,-0.75709938,0,1,3,3,-0.827512326,-1.074045532,1,0,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NEGATIVE,0,-0.27907717,-1.2502198,2.126056,0.40022194,-0.18741542,-0.59000766,-0.5360752,-0.36261857,-0.2562371,-0.31213287
