Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Revenue_per_Month,Average_Monthly_Charges,Charges_Evolution,Total_Services,Contract_Risk_Score,Payment_Risk_Score,Service_Dependency_Score,Loyalty_Adjusted_Value,Gender_Encoded,Contract_Encoded,Payment Method_Encoded,Internet Service_DSL,Internet Service_Fiber optic,Internet Service_No,Value_Segment_Low,Value_Segment_Medium,Value_Segment_High,Value_Segment_Premium
Male,No,No,No,-1.4954444411486996,Yes,No,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,-0.3426650507042386,-1.3870899178345582,Yes,-0.33402409583778586,-0.33402409583778586,-0.09531702271315254,3,3,2,-0.06576177140825509,-1.1241827200376682,1,0,3,True,False,False,False,True,False,False
Female,No,No,Yes,-1.4954444411486996,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.21354490631159695,-1.249769656826861,Yes,0.37954129346548837,0.37954129346548837,-1.9337672719802061,1,3,3,-1.055012658184437,-0.8933099927320065,0,0,2,False,True,False,False,False,True,False
Female,No,No,Yes,-0.9262870364473353,Yes,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.147890874439329,-0.35320893139000525,Yes,1.234986861233622,1.234986861233622,-1.1089520488679876,4,3,3,0.9616197424503081,0.29529136953445745,0,0,2,False,True,False,False,False,False,True
Female,No,Yes,Yes,0.08053825404152173,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1.3118578923422646,0.6646137729607121,Yes,1.431436365531653,1.431436365531653,-1.5104604402348296,5,3,3,1.235007287882481,1.0572098390780864,0,0,2,False,True,False,False,False,False,True
Male,No,No,Yes,0.7615992724386251,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1.2768859573890228,1.1539925018193415,Yes,1.2419180030365589,1.2419180030365589,0.3442009011399513,5,3,1,1.235007287882481,1.3119900925570287,1,0,0,False,True,False,False,False,False,True
Female,No,Yes,No,-0.788710798441481,Yes,No,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),-0.2976835212402814,-0.6254025825307407,Yes,-0.3753169982147776,-0.3753169982147776,0.9066003190701305,3,3,1,-0.06576177140825509,-0.3506003580018037,0,0,1,True,False,False,False,True,False,False
Male,Yes,No,No,-1.6443435132739284,No,No phone service,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,-0.8212076591351677,-1.72976770387502,Yes,-0.8195273178955196,-0.8195273178955196,-0.009353913158557138,2,3,3,-0.5152207685066297,-1.6400282705579727,1,0,2,True,False,False,False,True,False,False
Male,No,No,No,-1.6443435132739284,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-1.5003970418060546,-1.9135712394725586,Yes,-1.4999888080259427,-1.4999888080259427,-0.009353913158557138,1,3,2,-1.055012658184437,-1.9658614601458777,1,0,3,False,False,True,True,False,False,False
Male,No,Yes,Yes,0.7046283110811932,Yes,Yes,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.1383207127835429,1.093583212973243,Yes,1.1869797633044474,1.1869797633044474,-0.6522549973208602,4,3,3,0.9616197424503081,1.2126218983896255,1,0,2,False,True,False,False,False,False,True
Male,No,Yes,No,-1.6443435132739284,No,No phone service,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,-1.1463706593946839,-1.807887847546917,Yes,-1.1449405520377844,-1.1449405520377844,-0.009353913158557138,1,3,3,-1.734549940760439,-1.7836347107664485,1,0,2,True,False,False,True,False,False,False
Female,No,No,No,-0.3939629350220116,Yes,No,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,0.016720546225468466,-0.1586663866521749,Yes,0.003796578171173004,0.003796578171173004,0.14417751610906798,3,3,2,0.6591623031757442,0.07709215392463761,0,0,3,True,False,False,False,True,False,False
Male,No,No,Yes,-1.169363051421521,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.18082754151475294,-0.9054342996594779,Yes,-0.026415501251929794,-0.026415501251929794,2.4617039330360035,1,3,3,-1.055012658184437,-0.416301418501132,1,0,2,False,True,False,False,True,False,False
Male,No,No,Yes,0.2972052803316758,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.3610913426681968,0.8068621018137834,Yes,1.292745560234841,1.292745560234841,0.748770371632206,5,3,3,1.235007287882481,1.1813996546879626,1,0,2,False,True,False,False,False,False,True
Female,No,No,Yes,-0.7251211853549012,Yes,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1.0904382851198113,-0.1507862941647,Yes,1.169404350079641,1.169404350079641,-1.007245059814332,4,3,1,0.9616197424503081,0.44901688991538746,0,0,0,False,True,False,False,False,False,True
Female,No,No,Yes,-1.4954444411486996,Yes,No,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.5373361300632139,-1.2711479731145054,Yes,0.257811560336989,0.257811560336989,3.35533880736862,2,3,3,-0.06576177140825509,-0.7710710974294507,0,0,2,False,True,False,False,False,True,False
Female,No,No,Yes,-0.49640806157178985,Yes,No,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1.1303439750235487,0.03496890436231471,Yes,0.9980184271605832,0.9980184271605832,1.5497109155574058,5,3,1,1.235007287882481,0.6376058084606377,0,0,1,False,True,False,False,False,False,True
Female,Yes,Yes,Yes,-0.9262870364473353,Yes,Yes,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),0.5373361300632139,-0.5170411895781656,Yes,0.4874810832943181,0.4874810832943181,0.5648385229204239,2,3,1,-0.5152207685066297,0.006057246356382566,0,0,1,False,True,False,False,False,True,False
Male,Yes,No,Yes,-0.3451032456934132,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.0137151084110478,0.19404428498350468,Yes,1.0702053642890768,1.0702053642890768,-0.734345546639986,3,3,3,0.6591623031757442,0.6736263020210113,1,0,2,False,True,False,False,False,False,True
Female,No,No,Yes,-0.855590292170263,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,0.9801048591105763,-0.32440519932065376,Yes,1.0030036174885422,1.0030036174885422,-0.3328637335683683,3,3,3,0.6591623031757442,0.28487021281079494,0,0,2,False,True,False,False,False,False,True
Female,No,No,Yes,-1.6443435132739284,Yes,No,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.4952039842970835,-1.5026888012955926,Yes,0.4935343213394892,0.4935343213394892,-0.009353913158557138,2,3,3,-0.06576177140825509,-1.1813315875808337,0,0,2,False,True,False,False,False,True,False
Female,No,Yes,Yes,-1.0014835719110122,Yes,No,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),0.358738252108335,-0.6609854061799435,Yes,0.22235937199054703,0.22235937199054703,1.6116603733863848,2,3,1,-0.5152207685066297,-0.15335063246758743,0,0,0,False,True,False,False,False,True,False
Female,No,No,Yes,-0.664404140329236,Yes,Yes,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.4822302214493738,-0.27192181666936066,Yes,0.4266163940627144,0.4266163940627144,0.6360985114669921,2,3,3,-0.5152207685066297,0.18531335739424168,0,0,2,False,True,False,False,False,True,False
Male,No,No,No,-1.169363051421521,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-1.468258796063726,-1.3669949371567922,Yes,-1.4063349810315762,-1.4063349810315762,-0.6613878103759034,1,3,2,-1.055012658184437,-1.448683048261527,1,0,3,False,False,True,True,False,False,False
Female,Yes,Yes,Yes,-0.03718284843144459,Yes,No,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.1111938340684542,0.493824783662196,Yes,1.172226981164815,1.172226981164815,-0.7967875118609336,5,3,3,1.235007287882481,0.8924599952507999,0,0,2,False,True,False,False,False,False,True
Male,No,Yes,No,1.249409395739648,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),1.4768237198578744,1.6054373047022268,Yes,1.5305486337920744,1.5305486337920744,-0.7437775314018572,6,1,1,1.4846416533919846,1.580449767615668,1,2,0,False,True,False,False,False,False,True
Male,No,Yes,Yes,0.925308196701814,Yes,Yes,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,1.055290659990974,1.1950851770731588,Yes,1.0030903945510954,1.0030903945510954,0.5686349792462709,4,3,3,0.6591623031757442,1.2357496386756601,1,0,2,False,True,False,False,False,False,True
Female,Yes,Yes,Yes,0.3978215085741403,Yes,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.40266104173548994,0.6101215010461516,Yes,0.4343273388340615,0.4343273388340615,-0.3963064402608195,1,3,3,-1.055012658184437,0.6577941540821053,0,0,2,False,True,False,False,False,True,False
Female,No,Yes,Yes,-0.788710798441481,Yes,Yes,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.167024927840454,-0.17714971741930854,Yes,1.3582494676687202,1.3582494676687202,-2.338182807830471,4,3,3,0.9616197424503081,0.4319283870494667,0,0,2,False,True,False,False,False,False,True
